,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,city scrape,59.0,2.0,1.0,1.0,3.0,1120.0,28.0,1125.0,28.0,28.0,1125.0,1125.0,28.0,1125.0,6,25,55,330,2.3,3.0,0.0,4.47,4.4,6.0,2.0,4.0,0.0,1.92
1,previous scrape,1.0,2.0,1.0,1.0,1.3,603.5,30.0,150.0,30.0,30.0,150.0,150.0,30.0,150.0,0,18,19,19,2.3,0.8,0.0,4.9,4.91,1.0,1.0,0.0,0.0,1.37
2,city scrape,1.0,2.0,1.0,1.0,1.3,603.5,10.0,30.0,10.0,10.0,30.0,30.0,10.0,30.0,28,58,88,363,0.0,0.0,0.0,4.77,4.76,1.0,0.0,1.0,0.0,1.9
3,city scrape,1.0,4.0,1.0,1.0,3.0,1477.0,28.0,365.0,3.0,28.0,365.0,365.0,26.5,365.0,15,28,51,325,2.3,0.8,0.0,4.77,4.76,1.0,1.0,0.0,0.0,1.9
4,city scrape,19.0,2.0,1.0,1.0,3.0,1011.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,23,53,83,358,2.3,0.8,0.0,4.25,4.2,2.0,2.0,0.0,0.0,0.36
5,city scrape,2.0,2.0,1.0,1.0,1.0,973.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,60,90,365,20.0,0.0,0.0,4.89,5.0,1.0,1.0,0.0,0.0,0.13
6,city scrape,1.0,1.0,1.0,1.0,1.0,700.0,2.0,30.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,179,0.0,0.0,0.0,4.71,4.75,1.0,0.0,1.0,0.0,1.97
7,city scrape,1.0,4.0,1.0,1.0,2.0,910.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,10,24,29,294,2.3,0.8,0.0,4.71,4.75,1.0,1.0,0.0,0.0,1.97
8,city scrape,18.0,2.0,1.0,1.0,1.0,720.0,14.8,1125.0,14.3,16.0,1125.0,1125.0,15.2,1125.0,13,13,13,254,5.0,2.0,0.0,5.0,4.8,9.0,9.0,0.0,0.0,0.07
9,city scrape,42.0,2.0,1.0,1.0,1.3,297.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,2.3,0.0,0.0,4.51,4.6,19.0,4.0,5.0,0.0,1.86
